model,split,device,train_seconds,predict_seconds,rmse,mae,r2,nasa_score
Random Forest baseline,validation,CPU (NumPy scratch),20.976594599997043,0.0030845000001136214,26.94188851408016,21.150836712313467,-0.11032728103699418,470.49880464250737
Random Forest improved,validation,CPU (NumPy scratch),192.81036609999137,0.008650799994939007,18.125022634255124,13.462554724626406,0.4974814980079838,114.67746046833686
Random Forest improved,official_test,CPU (NumPy scratch),204.25360199999704,0.023390300004393794,20.695482638598413,15.714223681891722,0.7519772184046043,841.8230600548515
