rank,algorithm,model,device,validation_rmse,validation_mae,validation_r2,validation_nasa_score,train_seconds,predict_seconds,test_rmse,test_mae,test_r2,test_nasa_score
1,Ridge Regression,Ridge improved (alpha=1000),CPU,16.382519580090243,14.109370157515864,0.589459192045706,83.36357793807299,0.048418499995023,0.0023862000089138,21.983732979817653,17.33332277084601,0.7201383846655691,961.6498593339248
2,XGBoost,XGBoost improved,cuda,17.065705228577023,13.158454513549804,0.5545043978513153,99.63851549759464,0.954776700000366,0.0287253000005875,19.185231307818945,14.556310920715331,0.7868553014457397,644.7972909712336
3,CatBoost,CatBoost improved,GPU,17.90845952332037,13.906988240938515,0.5094182358454369,109.22889200043232,12.284787799999322,0.0063289999998232,18.940692902786918,14.311392883024237,0.7922542341137497,624.290973208483
4,Random Forest,Random Forest improved,CPU (NumPy scratch),18.125022634255124,13.462554724626406,0.4974814980079838,114.67746046833686,192.81036609999137,0.008650799994939,20.695482638598413,15.714223681891722,0.7519772184046043,841.8230600548515
