model,split,device,train_seconds,predict_seconds,rmse,mae,r2,nasa_score
Ridge baseline,validation,CPU,0.4368809000006877,0.0027415999938966706,31.114797867380034,25.979740230853757,-0.480910830495177,1006.3968464283042
Ridge improved (alpha=1000),validation,CPU,0.04841849999502301,0.0023862000089138746,16.382519580090243,14.109370157515865,0.589459192045706,83.36357793807299
Ridge improved (alpha=1000),official_test,CPU,0.05533319999813102,0.003998500003945082,21.983732979817653,17.33332277084601,0.7201383846655691,961.6498593339247
