model,split,device,train_seconds,predict_seconds,rmse,mae,r2,nasa_score
XGBoost baseline,validation,cuda,1.3124053999999887,0.053263399999195826,24.264598098505253,19.13226318359375,0.09938091461133669,291.0127550193321
XGBoost improved,validation,cuda,0.964920999998867,0.028914299999087234,17.065705228577023,13.158454513549804,0.5545043978513153,99.63851549759465
XGBoost improved,official_test,cuda,0.9543813000000227,0.02834179999990738,19.185231307818942,14.556310920715331,0.7868553014457397,644.7972909712336
