model,split,device,train_seconds,predict_seconds,rmse,mae,r2,nasa_score
CatBoost baseline,validation,GPU,22.180186099998537,0.012926599998536403,25.64862786912731,20.253983875892573,-0.006290133032970546,436.2022462447227
CatBoost improved,validation,GPU,12.284787799999322,0.0063289999998232815,17.90845952332037,13.906988240938517,0.5094182358454369,109.22889200043231
CatBoost improved,official_test,GPU,2.1172803999997996,0.01863719999892055,18.940692902786914,14.311392883024237,0.7922542341137497,624.290973208483
